SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","9/30/2020","{6357FB28-1FC6-4000-B185-83B0DFBE9045}","Azure App Service","Standard Plan - Linux","US South Central","S1","24","1.92"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","9/30/2020","{6C76DAF0-AEB1-4238-B8B4-18820C91EEEF}","Storage","Tables","All","RA-GRS Data Stored","0.000216","0.0000162"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","9/30/2020","{7B5C8556-24E2-42BC-8F46-DA45AC53AEE4}","Storage","Tiered Block Blob","US East","Hot GRS Write Operations","0.004","0.0004"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","9/30/2020","{984C39D8-2499-4233-8A97-FB002A809F8F}","Container Registry","All","All","Standard Registry Unit","1.000008","0.6666053328"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","9/30/2020","{A4D4F647-F54E-400B-A11A-DCF256AFA091}","Storage","Bandwidth","US East","Geo-Replication v2 Data transfer","2.3E-05","0.00000046"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","9/30/2020","{A90AEC9F-EECB-42C7-8421-9B96716996DC}","Azure App Service","Free Plan - Linux","All","F1","0.032256","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","9/30/2020","{BB20DFDA-6D18-4BB1-B7FC-86A05D9CFB8D}","Storage","Tables","All","GRS Batch Write Operations","0.029","0.00001044"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/1/2020","{0B248445-AA24-4FE8-A794-A174929327BD}","Storage","Tiered Block Blob","US East","All Other Operations","0.0003","0.0000012"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/1/2020","{0F824807-2376-435C-95C9-F992B67A07B0}","Key Vault","All","All","Operations","0.0001","0.000003"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/1/2020","{0FC067A1-65D2-46DA-B24B-7A9CBE2C69BD}","Bandwidth","All","All","Data Transfer Out - Free","0.000152","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/1/2020","{32C3EBEC-1646-49E3-8127-2CAFBD3A04D8}","Bandwidth","All","All","Data Transfer In","0.000841","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/1/2020","{4082FA20-19D0-4388-B91E-A8150BC6AD4D}","Storage","Bandwidth","US East","Geo-Replication Data transfer","0.001606","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/1/2020","{6357FB28-1FC6-4000-B185-83B0DFBE9045}","Azure App Service","Standard Plan - Linux","US South Central","S1","24","1.92"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/1/2020","{6C76DAF0-AEB1-4238-B8B4-18820C91EEEF}","Storage","Tables","All","RA-GRS Data Stored","0.000192","0.0000144"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/1/2020","{7B5C8556-24E2-42BC-8F46-DA45AC53AEE4}","Storage","Tiered Block Blob","US East","Hot GRS Write Operations","0.008","0.0008"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/1/2020","{984C39D8-2499-4233-8A97-FB002A809F8F}","Container Registry","All","All","Standard Registry Unit","1.000008","0.6666053328"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/1/2020","{A4D4F647-F54E-400B-A11A-DCF256AFA091}","Storage","Bandwidth","US East","Geo-Replication v2 Data transfer","4.4E-05","0.00000088"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/1/2020","{A90AEC9F-EECB-42C7-8421-9B96716996DC}","Azure App Service","Free Plan - Linux","All","F1","0.032256","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/1/2020","{BB20DFDA-6D18-4BB1-B7FC-86A05D9CFB8D}","Storage","Tables","All","GRS Batch Write Operations","0.029","0.00001044"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/1/2020","{FD7CFA1E-026E-4BE1-871B-1C2386E8902E}","Storage","Tiered Block Blob","All","Hot Read Operations - Free","0.0001","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/2/2020","{0B248445-AA24-4FE8-A794-A174929327BD}","Storage","Tiered Block Blob","US East","All Other Operations","0.0012","0.0000048"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/2/2020","{0FC067A1-65D2-46DA-B24B-7A9CBE2C69BD}","Bandwidth","All","All","Data Transfer Out - Free","0.000309","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/2/2020","{32C3EBEC-1646-49E3-8127-2CAFBD3A04D8}","Bandwidth","All","All","Data Transfer In","0.001029","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/2/2020","{4082FA20-19D0-4388-B91E-A8150BC6AD4D}","Storage","Bandwidth","US East","Geo-Replication Data transfer","0.001675","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/2/2020","{6357FB28-1FC6-4000-B185-83B0DFBE9045}","Azure App Service","Standard Plan - Linux","US South Central","S1","24","1.92"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/2/2020","{6C76DAF0-AEB1-4238-B8B4-18820C91EEEF}","Storage","Tables","All","RA-GRS Data Stored","0.000192","0.0000144"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/2/2020","{7B5C8556-24E2-42BC-8F46-DA45AC53AEE4}","Storage","Tiered Block Blob","US East","Hot GRS Write Operations","0.0384","0.00384"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/2/2020","{984C39D8-2499-4233-8A97-FB002A809F8F}","Container Registry","All","All","Standard Registry Unit","1.000008","0.6666053328"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/2/2020","{A4D4F647-F54E-400B-A11A-DCF256AFA091}","Storage","Bandwidth","US East","Geo-Replication v2 Data transfer","0.000208","0.00000416"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/2/2020","{A90AEC9F-EECB-42C7-8421-9B96716996DC}","Azure App Service","Free Plan - Linux","All","F1","0.032256","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/2/2020","{BB20DFDA-6D18-4BB1-B7FC-86A05D9CFB8D}","Storage","Tables","All","GRS Batch Write Operations","0.029","0.00001044"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/2/2020","{FD7CFA1E-026E-4BE1-871B-1C2386E8902E}","Storage","Tiered Block Blob","All","Hot Read Operations - Free","0.0004","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/3/2020","{0B248445-AA24-4FE8-A794-A174929327BD}","Storage","Tiered Block Blob","US East","All Other Operations","0.0009","0.0000036"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/3/2020","{0F824807-2376-435C-95C9-F992B67A07B0}","Key Vault","All","All","Operations","0.0001","0.000003"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/3/2020","{0FC067A1-65D2-46DA-B24B-7A9CBE2C69BD}","Bandwidth","All","All","Data Transfer Out - Free","0.00275","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/3/2020","{32C3EBEC-1646-49E3-8127-2CAFBD3A04D8}","Bandwidth","All","Zone 1","Data Transfer In","0.0043","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/3/2020","{4082FA20-19D0-4388-B91E-A8150BC6AD4D}","Storage","Bandwidth","US East","Geo-Replication Data transfer","0.00163","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/3/2020","{6357FB28-1FC6-4000-B185-83B0DFBE9045}","Azure App Service","Standard Plan - Linux","US South Central","S1","24","1.92"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/3/2020","{6C76DAF0-AEB1-4238-B8B4-18820C91EEEF}","Storage","Tables","All","RA-GRS Data Stored","0.000192","0.0000144"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/3/2020","{7B5C8556-24E2-42BC-8F46-DA45AC53AEE4}","Storage","Tiered Block Blob","US East","Hot GRS Write Operations","0.6283","0.06283"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/3/2020","{984C39D8-2499-4233-8A97-FB002A809F8F}","Container Registry","All","All","Standard Registry Unit","1.000008","0.6666053328"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/3/2020","{A4D4F647-F54E-400B-A11A-DCF256AFA091}","Storage","Bandwidth","US East","Geo-Replication v2 Data transfer","0.003488","0.00006976"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/3/2020","{A90AEC9F-EECB-42C7-8421-9B96716996DC}","Azure App Service","Free Plan - Linux","All","F1","0.032256","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/3/2020","{BB20DFDA-6D18-4BB1-B7FC-86A05D9CFB8D}","Storage","Tables","All","GRS Batch Write Operations","0.029","0.00001044"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/3/2020","{FD7CFA1E-026E-4BE1-871B-1C2386E8902E}","Storage","Tiered Block Blob","All","Hot Read Operations - Free","0.0002","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/4/2020","{0B248445-AA24-4FE8-A794-A174929327BD}","Storage","Tiered Block Blob","US East","All Other Operations","0.0001","0.0000004"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/4/2020","{0FC067A1-65D2-46DA-B24B-7A9CBE2C69BD}","Bandwidth","All","All","Data Transfer Out - Free","0.000329","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/4/2020","{32C3EBEC-1646-49E3-8127-2CAFBD3A04D8}","Bandwidth","All","All","Data Transfer In","0.001192","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/4/2020","{4082FA20-19D0-4388-B91E-A8150BC6AD4D}","Storage","Bandwidth","US East","Geo-Replication Data transfer","0.001602","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/4/2020","{6357FB28-1FC6-4000-B185-83B0DFBE9045}","Azure App Service","Standard Plan - Linux","US South Central","S1","24","1.92"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/4/2020","{6C76DAF0-AEB1-4238-B8B4-18820C91EEEF}","Storage","Tables","All","RA-GRS Data Stored","0.000215","0.000016125"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/4/2020","{7B5C8556-24E2-42BC-8F46-DA45AC53AEE4}","Storage","Tiered Block Blob","US East","Hot GRS Write Operations","0.0718","0.00718"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/4/2020","{984C39D8-2499-4233-8A97-FB002A809F8F}","Container Registry","All","All","Standard Registry Unit","1.000008","0.6666053328"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/4/2020","{A4D4F647-F54E-400B-A11A-DCF256AFA091}","Storage","Bandwidth","US East","Geo-Replication v2 Data transfer","0.0004","0.000008"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/4/2020","{A90AEC9F-EECB-42C7-8421-9B96716996DC}","Azure App Service","Free Plan - Linux","All","F1","0.032256","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/4/2020","{BB20DFDA-6D18-4BB1-B7FC-86A05D9CFB8D}","Storage","Tables","All","GRS Batch Write Operations","0.029","0.00001044"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/5/2020","{0FC067A1-65D2-46DA-B24B-7A9CBE2C69BD}","Bandwidth","All","All","Data Transfer Out - Free","0.00012","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/5/2020","{32C3EBEC-1646-49E3-8127-2CAFBD3A04D8}","Bandwidth","All","All","Data Transfer In","0.000792","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/5/2020","{4082FA20-19D0-4388-B91E-A8150BC6AD4D}","Storage","Bandwidth","US East","Geo-Replication Data transfer","0.001563","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/5/2020","{6357FB28-1FC6-4000-B185-83B0DFBE9045}","Azure App Service","Standard Plan - Linux","US South Central","S1","24","1.92"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/5/2020","{6C76DAF0-AEB1-4238-B8B4-18820C91EEEF}","Storage","Tables","All","RA-GRS Data Stored","0.000216","0.0000162"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/5/2020","{984C39D8-2499-4233-8A97-FB002A809F8F}","Container Registry","All","All","Standard Registry Unit","1.000008","0.6666053328"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/5/2020","{A90AEC9F-EECB-42C7-8421-9B96716996DC}","Azure App Service","Free Plan - Linux","All","F1","0.032256","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/5/2020","{BB20DFDA-6D18-4BB1-B7FC-86A05D9CFB8D}","Storage","Tables","All","GRS Batch Write Operations","0.029","0.00001044"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/6/2020","{0B248445-AA24-4FE8-A794-A174929327BD}","Storage","Tiered Block Blob","US East","All Other Operations","0.0001","0.0000004"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/6/2020","{0F824807-2376-435C-95C9-F992B67A07B0}","Key Vault","All","All","Operations","0.0001","0.000003"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/6/2020","{0FC067A1-65D2-46DA-B24B-7A9CBE2C69BD}","Bandwidth","All","All","Data Transfer Out - Free","0.000251","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/6/2020","{32C3EBEC-1646-49E3-8127-2CAFBD3A04D8}","Bandwidth","All","All","Data Transfer In","0.001043","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/6/2020","{4082FA20-19D0-4388-B91E-A8150BC6AD4D}","Storage","Bandwidth","US East","Geo-Replication Data transfer","0.001582","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/6/2020","{6357FB28-1FC6-4000-B185-83B0DFBE9045}","Azure App Service","Standard Plan - Linux","US South Central","S1","24","1.92"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/6/2020","{6C76DAF0-AEB1-4238-B8B4-18820C91EEEF}","Storage","Tables","All","RA-GRS Data Stored","0.000216","0.0000162"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/6/2020","{7B5C8556-24E2-42BC-8F46-DA45AC53AEE4}","Storage","Tiered Block Blob","US East","Hot GRS Write Operations","0.0451","0.00451"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/6/2020","{984C39D8-2499-4233-8A97-FB002A809F8F}","Container Registry","All","All","Standard Registry Unit","1.000008","0.6666053328"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/6/2020","{A4D4F647-F54E-400B-A11A-DCF256AFA091}","Storage","Bandwidth","US East","Geo-Replication v2 Data transfer","0.000251","0.00000502"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/6/2020","{A90AEC9F-EECB-42C7-8421-9B96716996DC}","Azure App Service","Free Plan - Linux","All","F1","0.032256","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/6/2020","{BB20DFDA-6D18-4BB1-B7FC-86A05D9CFB8D}","Storage","Tables","All","GRS Batch Write Operations","0.029","0.00001044"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/7/2020","{0B248445-AA24-4FE8-A794-A174929327BD}","Storage","Tiered Block Blob","US East","All Other Operations","0.0005","0.000002"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/7/2020","{0F824807-2376-435C-95C9-F992B67A07B0}","Key Vault","All","All","Operations","0.0001","0.000003"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/7/2020","{0FC067A1-65D2-46DA-B24B-7A9CBE2C69BD}","Bandwidth","All","All","Data Transfer Out - Free","0.000315","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/7/2020","{32C3EBEC-1646-49E3-8127-2CAFBD3A04D8}","Bandwidth","All","All","Data Transfer In","0.001063","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/7/2020","{4082FA20-19D0-4388-B91E-A8150BC6AD4D}","Storage","Bandwidth","US East","Geo-Replication Data transfer","0.001622","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/7/2020","{6357FB28-1FC6-4000-B185-83B0DFBE9045}","Azure App Service","Standard Plan - Linux","US South Central","S1","24","1.92"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/7/2020","{6C76DAF0-AEB1-4238-B8B4-18820C91EEEF}","Storage","Tables","All","RA-GRS Data Stored","0.000216","0.0000162"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/7/2020","{7B5C8556-24E2-42BC-8F46-DA45AC53AEE4}","Storage","Tiered Block Blob","US East","Hot GRS Write Operations","0.0473","0.00473"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/7/2020","{984C39D8-2499-4233-8A97-FB002A809F8F}","Container Registry","All","All","Standard Registry Unit","1.000008","0.6666053328"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/7/2020","{A4D4F647-F54E-400B-A11A-DCF256AFA091}","Storage","Bandwidth","US East","Geo-Replication v2 Data transfer","0.000261","0.00000522"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/7/2020","{A90AEC9F-EECB-42C7-8421-9B96716996DC}","Azure App Service","Free Plan - Linux","All","F1","0.032256","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/7/2020","{BB20DFDA-6D18-4BB1-B7FC-86A05D9CFB8D}","Storage","Tables","All","GRS Batch Write Operations","0.029","0.00001044"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/7/2020","{FD7CFA1E-026E-4BE1-871B-1C2386E8902E}","Storage","Tiered Block Blob","All","Hot Read Operations - Free","0.0002","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/8/2020","{0FC067A1-65D2-46DA-B24B-7A9CBE2C69BD}","Bandwidth","All","All","Data Transfer Out - Free","0.00012","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/8/2020","{32C3EBEC-1646-49E3-8127-2CAFBD3A04D8}","Bandwidth","All","All","Data Transfer In","0.000792","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/8/2020","{4082FA20-19D0-4388-B91E-A8150BC6AD4D}","Storage","Bandwidth","US East","Geo-Replication Data transfer","0.001563","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/8/2020","{6357FB28-1FC6-4000-B185-83B0DFBE9045}","Azure App Service","Standard Plan - Linux","US South Central","S1","24","1.92"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/8/2020","{6C76DAF0-AEB1-4238-B8B4-18820C91EEEF}","Storage","Tables","All","RA-GRS Data Stored","0.000216","0.0000162"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/8/2020","{984C39D8-2499-4233-8A97-FB002A809F8F}","Container Registry","All","All","Standard Registry Unit","1.000008","0.6666053328"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/8/2020","{A90AEC9F-EECB-42C7-8421-9B96716996DC}","Azure App Service","Free Plan - Linux","All","F1","0.032256","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/8/2020","{BB20DFDA-6D18-4BB1-B7FC-86A05D9CFB8D}","Storage","Tables","All","GRS Batch Write Operations","0.029","0.00001044"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/9/2020","{0B248445-AA24-4FE8-A794-A174929327BD}","Storage","Tiered Block Blob","US East","All Other Operations","0.0003","0.0000012"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/9/2020","{0F824807-2376-435C-95C9-F992B67A07B0}","Key Vault","All","All","Operations","0.0001","0.000003"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/9/2020","{0FC067A1-65D2-46DA-B24B-7A9CBE2C69BD}","Bandwidth","All","All","Data Transfer Out - Free","0.000133","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/9/2020","{32C3EBEC-1646-49E3-8127-2CAFBD3A04D8}","Bandwidth","All","All","Data Transfer In","0.000802","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/9/2020","{4082FA20-19D0-4388-B91E-A8150BC6AD4D}","Storage","Bandwidth","US East","Geo-Replication Data transfer","0.001597","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/9/2020","{6357FB28-1FC6-4000-B185-83B0DFBE9045}","Azure App Service","Standard Plan - Linux","US South Central","S1","24","1.92"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/9/2020","{6C76DAF0-AEB1-4238-B8B4-18820C91EEEF}","Storage","Tables","All","RA-GRS Data Stored","0.000216","0.0000162"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/9/2020","{7B5C8556-24E2-42BC-8F46-DA45AC53AEE4}","Storage","Tiered Block Blob","US East","Hot GRS Write Operations","0.0012","0.00012"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/9/2020","{984C39D8-2499-4233-8A97-FB002A809F8F}","Container Registry","All","All","Standard Registry Unit","1.000008","0.6666053328"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/9/2020","{A4D4F647-F54E-400B-A11A-DCF256AFA091}","Storage","Bandwidth","US East","Geo-Replication v2 Data transfer","5E-06","0.0000001"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/9/2020","{A90AEC9F-EECB-42C7-8421-9B96716996DC}","Azure App Service","Free Plan - Linux","All","F1","0.032256","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/9/2020","{BB20DFDA-6D18-4BB1-B7FC-86A05D9CFB8D}","Storage","Tables","All","GRS Batch Write Operations","0.029","0.00001044"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/9/2020","{FD7CFA1E-026E-4BE1-871B-1C2386E8902E}","Storage","Tiered Block Blob","All","Hot Read Operations - Free","0.0001","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/10/2020","{0FC067A1-65D2-46DA-B24B-7A9CBE2C69BD}","Bandwidth","All","All","Data Transfer Out - Free","0.00012","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/10/2020","{32C3EBEC-1646-49E3-8127-2CAFBD3A04D8}","Bandwidth","All","All","Data Transfer In","0.000792","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/10/2020","{4082FA20-19D0-4388-B91E-A8150BC6AD4D}","Storage","Bandwidth","US East","Geo-Replication Data transfer","0.001563","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/10/2020","{6357FB28-1FC6-4000-B185-83B0DFBE9045}","Azure App Service","Standard Plan - Linux","US South Central","S1","24","1.92"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/10/2020","{6C76DAF0-AEB1-4238-B8B4-18820C91EEEF}","Storage","Tables","All","RA-GRS Data Stored","0.000216","0.0000162"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/10/2020","{984C39D8-2499-4233-8A97-FB002A809F8F}","Container Registry","All","All","Standard Registry Unit","1.000008","0.6666053328"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/10/2020","{A90AEC9F-EECB-42C7-8421-9B96716996DC}","Azure App Service","Free Plan - Linux","All","F1","0.032256","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/10/2020","{BB20DFDA-6D18-4BB1-B7FC-86A05D9CFB8D}","Storage","Tables","All","GRS Batch Write Operations","0.029","0.00001044"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/11/2020","{0F824807-2376-435C-95C9-F992B67A07B0}","Key Vault","All","All","Operations","0.0004","0.000012"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/11/2020","{0FC067A1-65D2-46DA-B24B-7A9CBE2C69BD}","Bandwidth","All","All","Data Transfer Out - Free","0.00012","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/11/2020","{32C3EBEC-1646-49E3-8127-2CAFBD3A04D8}","Bandwidth","All","All","Data Transfer In","0.000792","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/11/2020","{4082FA20-19D0-4388-B91E-A8150BC6AD4D}","Storage","Bandwidth","US East","Geo-Replication Data transfer","0.001563","0"
